Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2022,3,SD,Preliminary,Other,,,,
2022,3,TN,Preliminary,Residential,381582.25,3320800.2,2990411,11.49
2022,3,TN,Preliminary,Commercial,301062.89,2651572.7,518366,11.35
2022,3,TN,Preliminary,Industrial,112321.52,1925856.7,1030,5.83
2022,3,TN,Preliminary,Transportation,0.0,0.0,0,0.0
2022,3,TN,Preliminary,Other,,,,
2022,3,TX,Preliminary,Residential,1450472.8,11331948.0,11863875,12.8
2022,3,TX,Preliminary,Commercial,1008837.0,11861131.0,1557759,8.51
2022,3,TX,Preliminary,Industrial,701469.83,10820395.0,313536,6.48
2022,3,TX,Preliminary,Transportation,908.5,12504.96,3,7.27
2022,3,TX,Preliminary,Other,,,,
2022,3,UT,Preliminary,Residential,81483.2,772136.15,1171121,10.55
2022,3,UT,Preliminary,Commercial,80589.05,968662.0,138468,8.32
2022,3,UT,Preliminary,Industrial,47359.24,769338.92,9981,6.16
2022,3,UT,Preliminary,Transportation,449.91,3580.22,1,12.57
2022,3,UT,Preliminary,Other,,,,
2022,3,VA,Preliminary,Residential,436500.83,3480572.8,3587619,12.54
2022,3,VA,Preliminary,Commercial,380619.28,4498065.8,444769,8.46
2022,3,VA,Preliminary,Industrial,111698.74,1520605.0,3686,7.35
2022,3,VA,Preliminary,Transportation,1218.63,11443.15,1,10.65
2022,3,VA,Preliminary,Other,,,,
2022,3,VT,Preliminary,Residential,37311.53,188435.04,317981,19.8
2022,3,VT,Preliminary,Commercial,27830.31,159698.6,60493,17.43
2022,3,VT,Preliminary,Industrial,13935.58,117785.38,243,11.83
2022,3,VT,Preliminary,Transportation,0.0,0.0,0,0.0
2022,3,VT,Preliminary,Other,,,,
2022,3,WA,Preliminary,Residential,387589.94,3823475.5,3297101,10.14
2022,3,WA,Preliminary,Commercial,231489.18,2423960.1,409186,9.55
2022,3,WA,Preliminary,Industrial,102843.24,1805143.4,26286,5.7
2022,3,WA,Preliminary,Transportation,1174.78,11927.01,5,9.85
2022,3,WA,Preliminary,Other,,,,
2022,3,WI,Preliminary,Residential,283821.25,1867554.4,2780524,15.2
2022,3,WI,Preliminary,Commercial,224298.22,1959798.7,363875,11.45
2022,3,WI,Preliminary,Industrial,151683.99,1973488.6,5374,7.69
2022,3,WI,Preliminary,Transportation,15.56,98.2,2,15.85
2022,3,WI,Preliminary,Other,,,,
2022,3,WV,Preliminary,Residential,123872.14,928499.86,864492,13.34
2022,3,WV,Preliminary,Commercial,60363.33,594776.36,149425,10.15
2022,3,WV,Preliminary,Industrial,76884.91,1256208.7,11258,6.12
2022,3,WV,Preliminary,Transportation,0.0,0.0,0,0.0
2022,3,WV,Preliminary,Other,,,,
2022,3,WY,Preliminary,Residential,29727.43,278053.87,281345,10.69
2022,3,WY,Preliminary,Commercial,28193.25,300800.21,58561,9.37
2022,3,WY,Preliminary,Industrial,56807.04,841347.03,11621,6.75
2022,3,WY,Preliminary,Transportation,0.0,0.0,0,0.0
2022,3,WY,Preliminary,Other,,,,
2022,2,AK,Preliminary,Residential,41179.6,186304.86,294203,22.1
2022,2,AK,Preliminary,Commercial,41306.32,215182.19,56686,19.2
2022,2,AK,Preliminary,Industrial,20515.93,108773.44,1132,18.86
2022,2,AK,Preliminary,Transportation,0.0,0.0,0,0.0
2022,2,AK,Preliminary,Other,,,,
2022,2,AL,Preliminary,Residential,364630.82,2773343.3,2308023,13.15
2022,2,AL,Preliminary,Commercial,198890.83,1609260.4,375094,12.36
2022,2,AL,Preliminary,Industrial,150990.16,2444344.6,7900,6.18
2022,2,AL,Preliminary,Transportation,0.0,0.0,0,0.0
2022,2,AL,Preliminary,Other,,,,
2022,2,AR,Preliminary,Residential,184925.34,1806313.7,1418879,10.24
2022,2,AR,Preliminary,Commercial,78771.72,856619.43,199779,9.2
2022,2,AR,Preliminary,Industrial,85346.72,1342751.4,33810,6.36
2022,2,AR,Preliminary,Transportation,2.03,14.0,2,14.5
2022,2,AR,Preliminary,Other,,,,
2022,2,AZ,Preliminary,Residential,274381.59,2161633.3,2988962,12.69
