Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2009,12,MN,Final,Transportation,143,1821,1,7.85
2009,12,MN,Final,Other,,,,
2009,12,MO,Final,Residential,259317,3492855,2690058,7.42
2009,12,MO,Final,Commercial,165486,2652889,368640,6.24
2009,12,MO,Final,Industrial,62625,1305735,8926,4.8
2009,12,MO,Final,Transportation,87,1840,1,4.73
2009,12,MO,Final,Other,,,,
2009,12,MS,Final,Residential,137649,1443164,1246128,9.54
2009,12,MS,Final,Commercial,91020,972762,222348,9.36
2009,12,MS,Final,Industrial,79197,1285469,6805,6.16
2009,12,MS,Final,Transportation,0,0,0,0
2009,12,MS,Final,Other,,,,
2009,12,MT,Final,Residential,44916,517806,468457,8.67
2009,12,MT,Final,Commercial,34956,426783,100695,8.19
2009,12,MT,Final,Industrial,20079,372781,3408,5.39
2009,12,MT,Final,Transportation,0,0,0,0
2009,12,MT,Final,Other,,,,
2009,12,NC,Final,Residential,493559,5194887,4190949,9.5
2009,12,NC,Final,Commercial,290846,3692030,646879,7.88
2009,12,NC,Final,Industrial,118771,2012003,11295,5.9
2009,12,NC,Final,Transportation,38,545,1,6.97
2009,12,NC,Final,Other,,,,
2009,12,ND,Final,Residential,35887,513324,324708,6.99
2009,12,ND,Final,Commercial,28192,443299,57515,6.36
2009,12,ND,Final,Industrial,16856,329131,2586,5.12
2009,12,ND,Final,Transportation,0,0,0,0
2009,12,ND,Final,Other,,,,
2009,12,NE,Final,Residential,76249,999371,803886,7.63
2009,12,NE,Final,Commercial,57290,824236,154565,6.95
2009,12,NE,Final,Industrial,44439,907664,29268,4.9
2009,12,NE,Final,Transportation,0,0,0,0
2009,12,NE,Final,Other,,,,
2009,12,NH,Final,Residential,62911,389006,591161,16.17
2009,12,NH,Final,Commercial,49857,356481,92874,13.99
2009,12,NH,Final,Industrial,19462,145605,3180,13.37
2009,12,NH,Final,Transportation,0,0,0,0
2009,12,NH,Final,Other,,,,
2009,12,NJ,Final,Residential,377339,2413749,3437030,15.63
2009,12,NJ,Final,Commercial,429366,3291928,478830,13.04
2009,12,NJ,Final,Industrial,74941,659015,13226,11.37
2009,12,NJ,Final,Transportation,3619,27271,6,13.27
2009,12,NJ,Final,Other,,,,
2009,12,NM,Final,Residential,61200,657579,849334,9.31
2009,12,NM,Final,Commercial,54930,685327,135762,8.02
2009,12,NM,Final,Industrial,27571,514596,6858,5.36
2009,12,NM,Final,Transportation,0,0,0,0
2009,12,NM,Final,Other,,,,
2009,12,NV,Final,Residential,116360,895378,1056485,13.0
2009,12,NV,Final,Commercial,72619,688194,153635,10.55
2009,12,NV,Final,Industrial,74766,1065811,3420,7.01
2009,12,NV,Final,Transportation,56,612,18,9.15
2009,12,NV,Final,Other,,,,
2009,12,NY,Final,Residential,744039,4249302,6939350,17.51
2009,12,NY,Final,Commercial,963702,6256247,1042801,15.4
2009,12,NY,Final,Industrial,94855,1123527,8514,8.44
2009,12,NY,Final,Transportation,35338,274550,28,12.87
2009,12,NY,Final,Other,,,,
2009,12,OH,Final,Residential,532813,5169938,4883376,10.31
2009,12,OH,Final,Commercial,357884,3829891,612938,9.34
2009,12,OH,Final,Industrial,263203,4238000,20977,6.21
2009,12,OH,Final,Transportation,363,3765,2,9.64
2009,12,OH,Final,Other,,,,
2009,12,OK,Final,Residential,152411,2083938,1649513,7.31
2009,12,OK,Final,Commercial,98010,1576552,266239,6.22
2009,12,OK,Final,Industrial,54669,1160720,17704,4.71
2009,12,OK,Final,Transportation,0,0,0,0
2009,12,OK,Final,Other,,,,
2009,12,OR,Final,Residential,203846,2373959,1627948,8.59
2009,12,OR,Final,Commercial,107465,1467274,237152,7.32
2009,12,OR,Final,Industrial,52383,960021,19335,5.46
2009,12,OR,Final,Transportation,158,2310,58,6.84
2009,12,OR,Final,Other,,,,
2009,12,PA,Final,Residential,582745,5163331,5239494,11.29
2009,12,PA,Final,Commercial,366065,3916699,681330,9.35
2009,12,PA,Final,Industrial,250636,3550381,27360,7.06
2009,12,PA,Final,Transportation,5794,72828,14,7.96
2009,12,PA,Final,Other,,,,
2009,12,RI,Final,Residential,40699,275160,429201,14.79
2009,12,RI,Final,Commercial,43192,318565,56088,13.56
2009,12,RI,Final,Industrial,9429,75293,1975,12.52
2009,12,RI,Final,Transportation,0,0,0,0
2009,12,RI,Final,Other,,,,
2009,12,SC,Final,Residential,260727,2658736,2089327,9.81
2009,12,SC,Final,Commercial,143915,1678313,345183,8.57
2009,12,SC,Final,Industrial,117946,2105522,4440,5.6
2009,12,SC,Final,Transportation,0,0,0,0
2009,12,SC,Final,Other,,,,
2009,12,SD,Final,Residential,38545,475062,370964,8.11
2009,12,SD,Final,Commercial,26235,380170,66007,6.9
2009,12,SD,Final,Industrial,11113,191518,2800,5.8
2009,12,SD,Final,Transportation,0,0,0,0
2009,12,SD,Final,Other,,,,
2009,12,TN,Final,Residential,297341,3457983,2692458,8.6
2009,12,TN,Final,Commercial,195859,2166140,458702,9.04
2009,12,TN,Final,Industrial,135094,2223165,2034,6.08
2009,12,TN,Final,Transportation,17,181,1,9.39
2009,12,TN,Final,Other,,,,
2009,12,TX,Final,Residential,1189254,10319430,9492353,11.52
2009,12,TX,Final,Commercial,887260,9488289,1470133,9.35
2009,12,TX,Final,Industrial,529624,8038271,127467,6.59
2009,12,TX,Final,Transportation,587,5910,2,9.93
2009,12,TX,Final,Other,,,,
2009,12,UT,Final,Residential,67805,839552,936251,8.08
2009,12,UT,Final,Commercial,53378,863120,119443,6.18
2009,12,UT,Final,Industrial,34986,819674,9369,4.27
2009,12,UT,Final,Transportation,232,2966,10,7.82
2009,12,UT,Final,Other,,,,
2009,12,VA,Final,Residential,457169,4514016,3201931,10.13
2009,12,VA,Final,Commercial,324326,4129054,407494,7.85
2009,12,VA,Final,Industrial,94249,1369440,5239,6.88
2009,12,VA,Final,Transportation,1447,17325,1,8.35
2009,12,VA,Final,Other,,,,
2009,12,VT,Final,Residential,31770,213927,306690,14.85
2009,12,VT,Final,Commercial,22634,171453,50134,13.2
2009,12,VT,Final,Industrial,11889,123414,224,9.63
2009,12,VT,Final,Transportation,0,0,0,0
2009,12,VT,Final,Other,,,,
2009,12,WA,Final,Residential,305326,3959994,2821587,7.71
2009,12,WA,Final,Commercial,192432,2741183,351026,7.02
2009,12,WA,Final,Industrial,94021,2123830,25697,4.43
2009,12,WA,Final,Transportation,20,332,6,6.02
2009,12,WA,Final,Other,,,,
2009,12,WI,Final,Residential,246323,2159047,2600605,11.41
2009,12,WI,Final,Commercial,177110,1930614,338660,9.17
2009,12,WI,Final,Industrial,120288,1850277,4033,6.5
2009,12,WI,Final,Transportation,0,0,0,0
2009,12,WI,Final,Other,,,,
2009,12,WV,Final,Residential,103429,1290162,866734,8.02
2009,12,WV,Final,Commercial,46868,673291,136090,6.96
2009,12,WV,Final,Industrial,49948,937438,12218,5.33
2009,12,WV,Final,Transportation,34,441,1,7.71
2009,12,WV,Final,Other,,,,
2009,12,WY,Final,Residential,24510,297399,258798,8.24
2009,12,WY,Final,Commercial,28056,401191,59760,6.99
2009,12,WY,Final,Industrial,38319,824138,8666,4.65
2009,12,WY,Final,Transportation,0,0,0,0
2009,12,WY,Final,Other,,,,
2009,11,AK,Final,Residential,31380,187918,270186,16.7
2009,11,AK,Final,Commercial,34691,246203,47287,14.09
2009,11,AK,Final,Industrial,15625,104753,1225,14.92
2009,11,AK,Final,Transportation,0,0,0,0
2009,11,AK,Final,Other,,,,
2009,11,AL,Final,Residential,205330,2013095,2130963,10.2
2009,11,AL,Final,Commercial,160432,1655567,351105,9.69
2009,11,AL,Final,Industrial,132811,2473011,9245,5.37
2009,11,AL,Final,Transportation,0,0,0,0
2009,11,AL,Final,Other,,,,
2009,11,AR,Final,Residential,94642,1040407,1316993,9.1
2009,11,AR,Final,Commercial,63156,855774,177685,7.38
2009,11,AR,Final,Industrial,70074,1266785,30807,5.53
2009,11,AR,Final,Transportation,4,30,2,13.33
2009,11,AR,Final,Other,,,,
2009,11,AZ,Final,Residential,185697,1883894,2549653,9.86
2009,11,AZ,Final,Commercial,201781,2279117,299741,8.85
2009,11,AZ,Final,Industrial,55185,891790,7125,6.19
2009,11,AZ,Final,Transportation,0,0,0,0
2009,11,AZ,Final,Other,,,,
2009,11,CA,Final,Residential,830214,6122285,12495014,13.56
2009,11,CA,Final,Commercial,1007391,9172504,1733241,10.98
2009,11,CA,Final,Industrial,333203,3795370,74931,8.78
2009,11,CA,Final,Transportation,5797,68904,495,8.41
2009,11,CA,Final,Other,,,,
2009,11,CO,Final,Residential,142323,1369809,2115947,10.39
2009,11,CO,Final,Commercial,141924,1620456,348868,8.76
2009,11,CO,Final,Industrial,67962,1053985,14725,6.45
2009,11,CO,Final,Transportation,325,3658,1,8.88
2009,11,CO,Final,Other,,,,
2009,11,CT,Final,Residential,180005,878943,1447688,20.48
2009,11,CT,Final,Commercial,165966,993839,147457,16.7
2009,11,CT,Final,Industrial,42160,285146,4860,14.79
2009,11,CT,Final,Transportation,1587,13300,2,11.93
2009,11,CT,Final,Other,,,,
2009,11,DC,Final,Residential,16369,125969,224988,12.99
2009,11,DC,Final,Commercial,87386,670213,26290,13.04
2009,11,DC,Final,Industrial,1356,18397,1,7.37
2009,11,DC,Final,Transportation,3077,23579,1,13.05
2009,11,DC,Final,Other,,,,
2009,11,DE,Final,Residential,39546,272802,393832,14.5
2009,11,DE,Final,Commercial,36759,307332,49140,11.96
2009,11,DE,Final,Industrial,21153,230734,1226,9.17
2009,11,DE,Final,Transportation,0,0,0,0
2009,11,DE,Final,Other,,,,
2009,11,FL,Final,Residential,1071572,8581392,8655641,12.49
2009,11,FL,Final,Commercial,819217,7547594,1136966,10.85
2009,11,FL,Final,Industrial,128188,1401291,19726,9.15
2009,11,FL,Final,Transportation,733,6703,25,10.94
2009,11,FL,Final,Other,,,,
2009,11,GA,Final,Residential,321787,3323433,4062652,9.68
2009,11,GA,Final,Commercial,304470,3433584,545079,8.87
2009,11,GA,Final,Industrial,137378,2456297,15468,5.59
2009,11,GA,Final,Transportation,819,12840,1,6.38
2009,11,GA,Final,Other,,,,
2009,11,HI,Final,Residential,67010,255499,413296,26.23
2009,11,HI,Final,Commercial,67252,281127,60493,23.92
2009,11,HI,Final,Industrial,62509,310176,683,20.15
2009,11,HI,Final,Transportation,0,0,0,0
2009,11,HI,Final,Other,,,,
2009,11,IA,Final,Residential,98890,1026946,1323700,9.63
2009,11,IA,Final,Commercial,67588,945603,216140,7.15
2009,11,IA,Final,Industrial,74058,1543706,6038,4.8
2009,11,IA,Final,Transportation,0,0,0,0
2009,11,IA,Final,Other,,,,
2009,11,ID,Final,Residential,58782,746601,661264,7.87
2009,11,ID,Final,Commercial,32197,482483,100446,6.67
2009,11,ID,Final,Industrial,24959,550423,25952,4.53
2009,11,ID,Final,Transportation,0,0,0,0
2009,11,ID,Final,Other,,,,
2009,11,IL,Final,Residential,358047,3221557,5074562,11.11
2009,11,IL,Final,Commercial,336070,3857723,577984,8.71
2009,11,IL,Final,Industrial,225025,3304441,5852,6.81
2009,11,IL,Final,Transportation,2996,38246,4,7.83
2009,11,IL,Final,Other,,,,
2009,11,IN,Final,Residential,215569,2316452,2732445,9.31
2009,11,IN,Final,Commercial,145615,1817123,341351,8.01
2009,11,IN,Final,Industrial,205498,3645472,18193,5.64
2009,11,IN,Final,Transportation,144,1537,1,9.37
2009,11,IN,Final,Other,,,,
2009,11,KS,Final,Residential,82317,866373,1211736,9.5
2009,11,KS,Final,Commercial,86409,1118387,218585,7.73
2009,11,KS,Final,Industrial,48068,814367,22941,5.9
2009,11,KS,Final,Transportation,0,0,0,0
2009,11,KS,Final,Other,,,,
2009,11,KY,Final,Residential,142243,1766553,1927290,8.05
2009,11,KY,Final,Commercial,98647,1374712,295440,7.18
2009,11,KY,Final,Industrial,181992,3863498,7129,4.71
2009,11,KY,Final,Transportation,0,0,0,0
2009,11,KY,Final,Other,,,,
2009,11,LA,Final,Residential,136688,1848848,1951631,7.39
2009,11,LA,Final,Commercial,128827,1804641,269497,7.14
2009,11,LA,Final,Industrial,96402,2249209,18348,4.29
2009,11,LA,Final,Transportation,92,909,23,10.12
2009,11,LA,Final,Other,,,,
2009,11,MA,Final,Residential,228660,1442347,2651810,15.85
2009,11,MA,Final,Commercial,197064,1362363,375158,14.46
2009,11,MA,Final,Industrial,190915,1402862,16064,13.61
2009,11,MA,Final,Transportation,1637,26753,1,6.12
2009,11,MA,Final,Other,,,,
2009,11,MD,Final,Residential,258811,1827759,2191224,14.16
2009,11,MD,Final,Commercial,269203,2240620,243276,12.01
2009,11,MD,Final,Industrial,40854,434827,8785,9.4
2009,11,MD,Final,Transportation,4568,40965,5,11.15
2009,11,MD,Final,Other,,,,
2009,11,ME,Final,Residential,53184,342350,697323,15.53
2009,11,ME,Final,Commercial,37862,305087,87924,12.41
2009,11,ME,Final,Industrial,23577,249024,2852,9.47
2009,11,ME,Final,Transportation,0,0,0,0
2009,11,ME,Final,Other,,,,
2009,11,MI,Final,Residential,303616,2648046,4253372,11.47
2009,11,MI,Final,Commercial,281876,2970165,522017,9.49
2009,11,MI,Final,Industrial,135880,2252932,12642,6.03
2009,11,MI,Final,Transportation,39,377,1,10.34
2009,11,MI,Final,Other,,,,
2009,11,MN,Final,Residential,171503,1720685,2290218,9.97
2009,11,MN,Final,Commercial,136083,1731933,273837,7.86
2009,11,MN,Final,Industrial,100163,1674170,8401,5.98
2009,11,MN,Final,Transportation,138,1782,1,7.74
2009,11,MN,Final,Other,,,,
2009,11,MO,Final,Residential,177784,2304787,2689273,7.71
2009,11,MO,Final,Commercial,139117,2269744,368941,6.13
2009,11,MO,Final,Industrial,62939,1290809,8921,4.88
2009,11,MO,Final,Transportation,78,1581,1,4.93
2009,11,MO,Final,Other,,,,
2009,11,MS,Final,Residential,114300,1101982,1245134,10.37
2009,11,MS,Final,Commercial,93299,979477,221853,9.53
2009,11,MS,Final,Industrial,77936,1277632,6856,6.1
2009,11,MS,Final,Transportation,0,0,0,0
2009,11,MS,Final,Other,,,,
2009,11,MT,Final,Residential,34850,393079,466553,8.87
2009,11,MT,Final,Commercial,29737,364302,100531,8.16
2009,11,MT,Final,Industrial,19508,364327,3713,5.35
2009,11,MT,Final,Transportation,0,0,0,0
2009,11,MT,Final,Other,,,,
2009,11,NC,Final,Residential,351526,3439423,4186657,10.22
2009,11,NC,Final,Commercial,272804,3369815,645964,8.1
2009,11,NC,Final,Industrial,130286,2197162,11331,5.93
2009,11,NC,Final,Transportation,35,486,1,7.2
2009,11,NC,Final,Other,,,,
2009,11,ND,Final,Residential,27329,361718,323984,7.56
2009,11,ND,Final,Commercial,25726,374101,57367,6.88
2009,11,ND,Final,Industrial,16146,312020,2540,5.17
2009,11,ND,Final,Transportation,0,0,0,0
2009,11,ND,Final,Other,,,,
2009,11,NE,Final,Residential,58310,722688,800902,8.07
2009,11,NE,Final,Commercial,52091,743747,154002,7
2009,11,NE,Final,Industrial,39433,768891,28899,5.13
2009,11,NE,Final,Transportation,0,0,0,0
2009,11,NE,Final,Other,,,,
2009,11,NH,Final,Residential,54811,335941,590134,16.32
2009,11,NH,Final,Commercial,47156,340741,92804,13.84
2009,11,NH,Final,Industrial,19163,146695,3180,13.06
2009,11,NH,Final,Transportation,0,0,0,0
2009,11,NH,Final,Other,,,,
2009,11,NJ,Final,Residential,288294,1860237,3476020,15.5
2009,11,NJ,Final,Commercial,376360,2926833,484556,12.86
2009,11,NJ,Final,Industrial,70885,617720,12810,11.48
2009,11,NJ,Final,Transportation,2909,23802,6,12.22
2009,11,NJ,Final,Other,,,,
2009,11,NM,Final,Residential,45249,474203,846844,9.54
2009,11,NM,Final,Commercial,55718,686611,135247,8.11
2009,11,NM,Final,Industrial,26631,536656,6870,4.96
2009,11,NM,Final,Transportation,0,0,0,0
2009,11,NM,Final,Other,,,,
2009,11,NV,Final,Residential,79120,576455,1050868,13.73
2009,11,NV,Final,Commercial,71330,668149,153928,10.68
2009,11,NV,Final,Industrial,67355,1140715,3460,5.9
2009,11,NV,Final,Transportation,61,673,18,9.06
2009,11,NV,Final,Other,,,,
2009,11,NY,Final,Residential,599447,3564894,6918595,16.82
2009,11,NY,Final,Commercial,839661,5742043,1034569,14.62
2009,11,NY,Final,Industrial,96425,1132667,8407,8.51
2009,11,NY,Final,Transportation,29974,230965,28,12.98
2009,11,NY,Final,Other,,,,
2009,11,OH,Final,Residential,388615,3649135,4875244,10.65
2009,11,OH,Final,Commercial,317371,3308939,612346,9.59
2009,11,OH,Final,Industrial,253729,4069289,20956,6.24
2009,11,OH,Final,Transportation,193,1964,2,9.83
2009,11,OH,Final,Other,,,,
2009,11,OK,Final,Residential,104545,1280688,1647668,8.16
2009,11,OK,Final,Commercial,91783,1402472,265696,6.54
2009,11,OK,Final,Industrial,53268,1168339,17700,4.56
2009,11,OK,Final,Transportation,0,0,0,0
2009,11,OK,Final,Other,,,,
2009,11,OR,Final,Residential,147356,1680404,1623630,8.77
2009,11,OR,Final,Commercial,96118,1253327,236698,7.67
2009,11,OR,Final,Industrial,52867,901959,19775,5.86
2009,11,OR,Final,Transportation,145,2130,58,6.81
2009,11,OR,Final,Other,,,,
2009,11,PA,Final,Residential,446613,3861065,5235761,11.57
2009,11,PA,Final,Commercial,330005,3533168,675978,9.34
2009,11,PA,Final,Industrial,249719,3506732,27373,7.12
2009,11,PA,Final,Transportation,5410,66865,14,8.09
2009,11,PA,Final,Other,,,,
2009,11,RI,Final,Residential,33034,215329,434212,15.34
2009,11,RI,Final,Commercial,38416,280043,56665,13.72
2009,11,RI,Final,Industrial,9539,75405,1990,12.65
2009,11,RI,Final,Transportation,0,0,0,0
2009,11,RI,Final,Other,,,,
2009,11,SC,Final,Residential,197917,1813683,2087156,10.91
2009,11,SC,Final,Commercial,141054,1542311,342885,9.15
2009,11,SC,Final,Industrial,122765,2130479,4449,5.76
2009,11,SC,Final,Transportation,0,0,0,0
2009,11,SC,Final,Other,,,,
2009,11,SD,Final,Residential,30393,357827,367833,8.49
2009,11,SD,Final,Commercial,23655,329873,65830,7.17
2009,11,SD,Final,Industrial,9809,179846,2777,5.45
2009,11,SD,Final,Transportation,0,0,0,0
2009,11,SD,Final,Other,,,,
2009,11,TN,Final,Residential,225341,2540647,2692012,8.87
2009,11,TN,Final,Commercial,186676,2086847,458145,8.95
2009,11,TN,Final,Industrial,140747,2237777,2021,6.29
2009,11,TN,Final,Transportation,18,171,1,10.53
2009,11,TN,Final,Other,,,,
2009,11,TX,Final,Residential,868763,7192882,9460447,12.08
2009,11,TX,Final,Commercial,798202,8366356,1467590,9.54
2009,11,TX,Final,Industrial,478121,7658762,126110,6.24
2009,11,TX,Final,Transportation,489,4925,2,9.93
2009,11,TX,Final,Other,,,,
2009,11,UT,Final,Residential,47446,593978,934578,7.99
2009,11,UT,Final,Commercial,51101,790585,118872,6.46
2009,11,UT,Final,Industrial,27977,664974,9389,4.21
2009,11,UT,Final,Transportation,219,2769,10,7.91
2009,11,UT,Final,Other,,,,
